Date,Latitude,Longgitude,Steaming Time (Hrs.),Course,Distance,SOG,totalFoc,correctedSpeed,STW,LSFO consumption,LSMGO consumption,RPM,Power (KW),Draft (Fwd / Aft) (m),Trim,Wind Speed (BF),Wind Direction,Current Speed (kts.),Current Direction,Wave Height (m),Wave Direction,Swell Height,Swell Direction,midDraft
2021-04-19,25-49 N,121-15 E,21.5,180,285,13.26,30.2176744186047,13.26,13.34,26.8,0.27,110.1,5751,8.13 / 8.94,0.81,4,NE,0.5,NE,2,NE,2,NE,8.535
2021-04-20,21-06 N,119-50 E,24,180,303,12.63,31.8,12.62,12.88,31.5,0.3,110.4,6083,8.13 / 8.94,0.81,7,ENE,1,N,4,ENE,4,ENE,8.535
2021-04-21,15-52 N,119-40 E,24,172,312,13,33.3,13,13.3,33,0.3,117.2,6415,8.13 / 8.94,0.81,7,NE,1,N,4,E,4,E,8.535
2021-04-22,10-48 N,121-16 E,24,201,325,13.54,32.25,13.54,13.96,31.95,0.3,117.1,6194,5.58 / 7.19,1.61,5,N,1,N,2,N,2,N,6.385
2021-04-23,05-40 N,119-47 E,24,194,319,13.29,31.3,13.29,13.34,31,0.3,114.8,5972,5.59 / 7.18,1.59,4,SW,1,N,1,SW,1,SW,6.385
2021-04-24,00-37 N,118-49 E,24,228,316,13.17,31.3,13.17,13.19,31,0.3,115.1,5972,5.59 / 7.16,1.57,4,S,1,N,1,S,1,S,6.375
2021-04-24,00-10 S,117-54 E,6,240,72,12,31.28,12,12.5,7.75,0.07,115.1,5972,5.59 / 7.38,1.79,4,SE,1,E,1,S,1,S,6.485
2021-04-29,01-49 N,119-06 E,12.5,8,166,12.5,34.272,13.28,12.62,17.7,0.15,118.1,7078,14.35 /14.52,0.17,4,NE,1,S,1,NE,1,NE,14.435
2021-04-30,06-53 N,120-05 E,24,15,307,12.79,34.3,12.79,13.02,34,0.3,117.9,6747,14.35 /14.52,0.17,4,NE,0.5,S,0.5,NE,1,NE,14.435
2021-05-01,11-46 N,121-09 E,24,345,306,12.75,35,12.75,12.83,34.7,0.3,117.9,7189,14.35 /14.52,0.17,5,NNE,1.2,S,2,NE,2,NE,14.435
2021-05-02,16-12 N,118-16 E,24,325,314,13.08,36,13.08,13.17,35.7,0.3,118.1,7189,14.35 /14.52,0.17,5,NW,0.5,SE,2,NW,2,NW,14.435
2021-05-03,20-26 N,115-12 E,24,327,308,12.83,34.3,12.83,13.46,34,0.3,118.1,6857,14.34 / 14.50,0.16,5,N,1,S,2,NE,2,NE,14.42
2021-05-03,22-02 N,114-26 E,8.5,350,110,12.94,34.3058823529412,12.94,13.18,12.04,0.11,115.3,6857,14.36 / 14.51,0.15,4,SE,0.5,E,1,SE,1,SE,14.435
2021-05-09,20-37 N,113-26 E,17.5,218,116,6.63,10.6011428571429,6.63,6.74,7.51,0.22,53.1,3097,4.68 / 7.02,2.34,4,SSW,0.5,SSW,1,SSW,1,SSW,5.85
2021-05-10,18-50 N,111-33 E,24,233,151,6.29,10.65,6.29,6.33,10.35,0.3,53.5,3097,4.68 / 7.02,2.34,4,S,0.5,N,1.5,SSW,1.5,SSW,5.85
2021-05-11,17-43 N,109-11 E,24,278,155,6.46,10.8,6.46,6.5,10.5,0.3,54.5,3097,4.68 / 7.02,2.34,4,SE,0.5,N,1.5,S,1.5,S,5.85
2021-05-12,19-09 N,108-02 E,24,0,130,5.42,7.1,5.42,5.46,6.8,0.3,40.8,2765,4.68 / 7.02,2.34,4,SE,0.5,N,1.5,SE,1.5,SE,5.85
2021-05-13,21-16 N,108-24 E,24,2,116,5.16,6.68,4.83,5.24,6.4,0.28,41.3,2765,5.66 / 6.98,1.32,4,SE,0.5,E,0.5,SE,0.5,SE,6.32
